Name,Index,KEGGID,FullName,Other,Lipid,Cofactor,Nucleotide,AminoAcid,CentralCarbon
fprica[c],202,C04734,5_Formamido_1__5_phospho_D_ribosyl_imidazole_4_carboxamide,0,0,0,1,0,0
frdp[c],203,C00448,Farnesyl_diphosphate,0,0,1,0,0,0
fum[c],204,C00122,Fumarate,0,0,1,1,1,1
g1p[c],205,C00103,D_Glucose_1_phosphate,1,0,0,0,0,1
g3p[c],206,C00661,Glyceraldehyde_3_phosphate,0,0,1,0,1,1
g3pc[c],207,C00670,sn_Glycero_3_phosphocholine,0,1,0,0,0,0
g3pe[c],208,C01233,sn_Glycero_3_phosphoethanolamine,0,1,0,0,0,0
g3pg[c],209,C03274,Glycerophosphoglycerol,0,1,0,0,0,0
g3pi[c],210,C01225,sn_Glycero_3_phospho_1_inositol,0,1,0,0,0,0
g6p[c],211,C00092,D_Glucose_6_phosphate,0,0,0,0,0,1
gam1p[c],212,C06156,D_Glucosamine_1_phosphate,1,0,0,0,0,0
gam6p[c],213,C00352,D_Glucosamine_6_phosphate,1,0,0,0,0,0
gar[c],214,C03838,N1__5_Phospho_D_ribosyl_glycinamide,0,0,0,1,0,0
gcald[c],215,C00266,Glycolaldehyde,0,0,1,0,0,0
gdp[c],216,C00035,GDP,0,0,0,1,0,0
gdpddman[c],217,C01222,GDP_4_dehydro_6_deoxy_D_mannose,1,0,0,0,0,0
gdpmann[c],218,C00096,GDP_D_mannose,1,0,0,0,0,0
glc_D[c],219,C00031,D_Glucose,0,0,0,0,0,1
gln_L[c],220,C00064,L_Glutamine,0,0,0,0,1,0
glu1sa[c],221,C03741,L_Glutamate_1_semialdehyde,0,0,1,0,0,0
glu5p[c],222,C03287,L_Glutamate_5_phosphate,0,0,0,0,1,0
glu5sa[c],223,C01165,L_Glutamate_5_semialdehyde,0,0,0,0,1,0
glu_D[c],224,C00217,D_Glutamate,1,0,0,0,0,0
glu_L[c],225,C00025,L_Glutamate,0,0,0,0,1,0
glucys[c],226,C00669,gamma_L_Glutamyl_L_cysteine,0,0,1,0,0,0
glutrna[c],227,C02987,L_Glutamyl_tRNA_Glu_,0,0,1,0,0,0
glx[c],228,C00048,Glyoxylate,0,0,0,0,0,1
gly[c],229,C00037,Glycine,0,0,0,0,1,0
glyc3p[c],230,C00093,Glycerol_3_phosphate,0,1,0,0,0,0
glyc_R[c],231,C00258,R__Glycerate,0,0,0,0,1,1
glyc[c],232,C00116,Glycerol,0,1,0,0,0,0
glyclt[c],233,C00160,Glycolate,0,0,0,0,0,1
glycogen[c],234,C00182,glycogen,0,0,0,0,0,1
gmhep17bp[c],235,C11472,D_Glycero_D_manno_heptose_1_7_bisphosphate,0,1,0,0,0,0
gmhep1p[c],236,C07838,D_Glycero_D_manno_heptose_1_phosphate,0,1,0,0,0,0
gmhep7p[c],237,C07836,D_Glycero_D_manno_heptose_7_phosphate,0,1,0,0,0,0
gmp[c],238,C00144,GMP,0,0,0,1,0,0
gp4g[c],239,C01261,P1_P4_Bis_5__guanosyl__tetraphosphate,0,0,0,1,0,0
grdp[c],240,C00341,Geranyl_diphosphate,0,0,1,0,0,0
gsn[c],241,C00387,Guanosine,0,0,0,1,0,0
gthox[c],242,C00127,Oxidized_glutathione,0,0,1,0,0,0
gthrd[c],243,C00051,Reduced_glutathione,0,0,1,0,1,0
gtp[c],244,C00044,GTP,0,0,0,1,0,0
gtspmd[c],245,C05730,Glutathionylspermidine,0,0,0,0,1,0
gua[c],246,C00242,Guanine,0,0,0,1,0,0
h2mb4p[c],247,C11811,1_hydroxy_2_methyl_2__E__butenyl_4_diphosphate,0,0,1,0,0,0
hcys_L[c],248,C00155,L_Homocysteine,0,0,0,0,1,0
hdca[c],249,C00249,Hexadecanoate__n_C160_,1,1,0,0,0,0
hemeO[c],250,C15672,Heme_O,0,0,1,0,0,0
his_L[c],251,C00135,L_Histidine,0,0,0,0,1,0
hisp[c],252,C01100,L_Histidinol_phosphate,0,0,0,0,1,0
histd[c],253,C00860,L_Histidinol,0,0,0,0,1,0
hmbil[c],254,C01024,Hydroxymethylbilane,0,0,1,0,0,0
hom_L[c],255,C00263,L_Homoserine,0,0,0,0,1,0
hxan[c],256,C00262,Hypoxanthine,0,0,0,1,0,0
iasp[c],257,C05840,Iminoaspartate,0,0,1,0,0,0
ichor[c],258,C00885,Isochorismate,0,0,1,0,0,0
icit[c],259,C00311,Isocitrate,0,0,0,0,0,1
ile_L[c],260,C00407,L_Isoleucine,0,0,0,0,1,0
imacp[c],261,C01267,3__Imidazol_4_yl__2_oxopropyl_phosphate,0,0,0,0,1,0
imp[c],262,C00130,IMP,0,0,0,1,0,0
indole[c],263,C00463,Indole,0,0,0,0,1,0
inost[c],264,C00137,myo_Inositol,1,1,0,0,0,0
ins[c],265,C00294,Inosine,0,0,0,1,0,0
ipdp[c],266,C00129,Isopentenyl_diphosphate,0,0,1,0,0,0
kdo2lipid4L[c],267,C06251,KDO_2__lipid_IV_A__with_laurate,0,1,0,0,0,0
kdo2lipid4[c],268,C06025,KDO_2__lipid_IV_A_,0,1,0,0,0,0
kdo8p[c],269,C04478,3_Deoxy_D_manno_octulosonate_8_phosphate,0,1,0,0,0,0
kdo[c],270,C01187,3_Deoxy_D_manno_2_octulosonate,0,1,0,0,0,0
kdolipid4[c],271,C06024,KDO_lipid_IV_A_,0,1,0,0,0,0
lac_D[c],272,C00256,D_Lactate,0,0,0,0,0,1
leu_L[c],273,C00123,L_Leucine,0,0,0,0,1,0
lipa[c],274,C06026,KDO_2__lipid__A_,0,1,0,0,0,0
lipidAds[c],275,C04932,Lipid_A_Disaccharide,0,1,0,0,0,0
lipidX[c],276,C04824,2_3_Bis_3_hydroxytetradecanoyl__beta_D_glucosaminyl_1_phosphate,0,1,0,0,0,0
lys_L[c],277,C00047,L_Lysine,0,0,0,0,1,0
malACP[c],278,C01209,Malonyl_acyl_carrier_protein,1,0,1,0,0,0
mal_L[c],279,C00149,L_Malate,0,0,0,0,0,1
malcoa[c],280,C00083,Malonyl_CoA,1,0,1,0,0,0
man1p[c],281,C00636,D_Mannose_1_phosphate,1,0,0,0,0,0
met_L[c],282,C00073,L_Methionine,0,0,1,0,1,0
mi1p_D[c],283,C01177,1D_myo_Inositol_1_phosphate,1,0,0,0,0,0
mlthf[c],284,C00143,5_10_Methylenetetrahydrofolate,0,0,1,1,1,0
mql8[c],285,C05819,Menaquinol_8,0,0,1,0,0,0
mqn8[c],286,C00828,Menaquinone_8,0,0,1,0,0,0
myrsACP[c],287,C05761,Myristoyl_ACP__n_C140ACP_,1,1,0,0,0,0
n8aspmd[c],288,C01029,N8_Acetylspermidine,0,0,0,0,1,0
nac[c],289,C00253,Nicotinate,0,0,1,0,0,0
ncam[c],290,C00153,Nicotinamide,0,0,1,0,0,0
nicrnt[c],291,C01185,Nicotinate_D_ribonucleotide,0,0,1,1,0,0
nmn[c],292,C00455,NMN,0,0,1,0,0,0
oaa[c],293,C00036,Oxaloacetate,0,0,0,0,1,1
ocdca[c],294,C01530,octadecanoate__n_C180_,1,1,0,0,0,0
octdp[c],295,C04146,all_trans_Octaprenyl_diphosphate,0,0,1,0,0,0
ohpb[c],296,C06054,2_Oxo_3_hydroxy_4_phosphobutanoate,0,0,1,0,0,0
orn[c],297,C01602,Ornithine,0,0,0,0,1,0
orot5p[c],298,C01103,Orotidine_5__phosphate,0,0,0,1,0,0
orot[c],299,C00295,Orotate,0,0,0,1,0,0
palmACP[c],300,C05764,Palmitoyl_ACP__n_C160ACP_,1,1,0,0,0,0
pan4p[c],301,C01134,Pantetheine_4__phosphate,0,0,1,0,0,0
pant_R[c],302,C00522,R__Pantoate,0,0,1,0,0,0
pap[c],303,C00054,Adenosine_3__5__bisphosphate,0,0,1,0,1,0
paps[c],304,C00053,3__Phosphoadenylyl_sulfate,0,0,0,0,1,0
pdx5p[c],305,C00627,Pyridoxine_5__phosphate,0,0,1,0,0,0
pep[c],306,C00074,Phosphoenolpyruvate,1,1,0,0,1,1
phe_L[c],307,C00079,L_Phenylalanine,0,0,0,0,1,0
pheme[c],308,C00032,Protoheme,0,0,1,0,0,0
phom[c],309,C01102,O_Phospho_L_homoserine,0,0,0,0,1,0
phpyr[c],310,C00166,Phenylpyruvate,0,0,0,0,1,0
phthr[c],311,C06055,O_Phospho_4_hydroxy_L_threonine,0,0,1,0,0,0
pnto_R[c],312,C00864,R__Pantothenate,0,0,1,0,0,0
ppbng[c],313,C00931,Porphobilinogen,0,0,1,0,0,0
pphn[c],314,C00254,Prephenate,0,0,0,0,1,0
ppp9[c],315,C02191,Protoporphyrin,0,0,1,0,0,0
pppg9[c],316,C01079,Protoporphyrinogen_IX,0,0,1,0,0,0
pram[c],317,C03090,5_Phospho_beta_D_ribosylamine,0,0,0,1,0,0
pran[c],318,C04302,N__5_Phospho_D_ribosyl_anthranilate,0,0,0,0,1,0
prbamp[c],319,C02741,1__5_Phosphoribosyl__AMP,0,0,0,0,1,0
prbatp[c],320,C02739,1__5_Phosphoribosyl__ATP,0,0,0,0,1,0
prfp[c],321,C04896,1__5_Phosphoribosyl__5__5_phosphoribosylamino_methylideneaminoimidazole_4_carboxamide,0,0,0,0,1,0
prlp[c],322,C04916,5__5_phospho_1_deoxyribulos_1_ylamino_methylideneamino_1__5_phosphoribosyl_imidazole_4_carboxamide,0,0,0,0,1,0
pro_L[c],323,C00148,L_Proline,0,0,0,0,1,0
prpp[c],324,C00119,5_Phospho_alpha_D_ribose_1_diphosphate,0,0,1,1,1,0
pser_L[c],325,C01005,O_Phospho_L_serine,0,0,0,0,1,0
ptrc[c],326,C00134,Putrescine,0,0,0,0,1,0
pyam5p[c],327,C00647,Pyridoxamine_5__phosphate,0,0,1,0,0,0
pydam[c],328,C00534,Pyridoxamine,0,0,1,0,0,0
pydx5p[c],329,C00018,Pyridoxal_5__phosphate,0,0,1,0,0,0
pydx[c],330,C00250,Pyridoxal,0,0,1,0,0,0
pydxn[c],331,C00314,Pyridoxine,0,0,1,0,0,0
pyr[c],332,C00022,Pyruvate,0,0,0,0,0,1
q8[c],333,C00399,Ubiquinone_8,0,0,1,0,0,0
q8h2[c],334,C00390,Ubiquinol_8,0,0,1,0,0,0
quln[c],335,C03722,Quinolinate,0,0,1,0,0,0
r1p[c],336,C00442,alpha_D_Ribose_1_phosphate,0,0,0,1,0,0
r5p[c],337,C00117,alpha_D_Ribose_5_phosphate,0,0,1,1,1,1
rdmbzi[c],338,C05775,N1__alpha_D_ribosyl__5_6_dimethylbenzimidazole,0,0,1,0,0,0
rhcys[c],339,C03539,S_Ribosyl_L_homocysteine,0,0,0,0,1,0
rib_D[c],340,C00121,D_Ribose,0,0,0,1,0,0
ribflv[c],341,C00255,Riboflavin,0,0,1,0,0,0
ru5p_D[c],342,C00199,D_Ribulose_5_phosphate,0,0,1,0,0,1
s7p[c],343,C05382,Sedoheptulose_7_phosphate,0,1,0,0,0,1
sbzcoa[c],344,C03160,O_Succinylbenzoyl_CoA,0,0,1,0,0,0
scl[c],345,C05778,sirohydrochlorin,0,0,1,0,0,0
ser_D[c],346,C00740,D_Serine,0,0,0,0,1,0
ser_L[c],347,C00065,L_Serine,0,0,0,0,1,0
seramp[c],348,C05820,L_seryl_AMP,0,0,1,0,0,0
sheme[c],349,C00748,Siroheme,0,0,1,0,0,0
skm5p[c],350,C03175,Shikimate_5_phosphate,0,0,0,0,1,0
skm[c],351,C00493,Shikimate,0,0,0,0,1,0
sl26da[c],352,C04421,N_Succinyl_LL_2_6_diaminoheptanedioate,0,0,0,0,1,0
sl2a6o[c],353,C04462,N_Succinyl_2_L_amino_6_oxoheptanedioate,0,0,0,0,1,0
spmd[c],354,C00315,Spermidine,0,0,0,0,1,0
sucarg[c],355,C03296,N2_Succinyl_L_arginine,0,0,0,0,1,0
sucbz[c],356,C02730,o_Succinylbenzoate,0,0,1,0,0,0
succ[c],357,C00042,Succinate,0,0,0,0,0,1
succoa[c],358,C00091,Succinyl_CoA,0,0,0,0,1,1
sucglu[c],359,C05931,N2_Succinyl_L_glutamate,0,0,0,0,1,0
sucgsa[c],360,C05932,N2_Succinyl_L_glutamate_5_semialdehyde,0,0,0,0,1,0
suchms[c],361,C01118,O_Succinyl_L_homoserine,0,0,0,0,1,0
sucorn[c],362,C03415,N2_Succinyl_L_ornithine,0,0,0,0,1,0
sucsal[c],363,C00232,Succinic_semialdehyde,0,0,0,0,1,0
thdp[c],364,C03972,2_3_4_5_Tetrahydrodipicolinate,0,0,0,0,1,0
thf[c],365,C00101,5_6_7_8_Tetrahydrofolate,0,1,1,1,1,0
thm[c],366,C00378,Thiamin,0,0,1,0,0,0
thmmp[c],367,C01081,Thiamin_monophosphate,0,0,1,0,0,0
thmpp[c],368,C00068,Thiamine_diphosphate,0,0,1,0,0,0
thr_L[c],369,C00188,L_Threonine,0,0,0,0,1,0
thym[c],370,C00178,Thymine,0,0,0,1,0,0
thymd[c],371,C00214,Thymidine,0,0,0,1,0,0
trdox[c],372,C00343,Oxidized_thioredoxin,0,0,0,1,1,0
trdrd[c],373,C00342,Reduced_thioredoxin,0,0,0,1,1,0
trnaglu[c],374,C01641,tRNA__Glu_,0,0,1,0,0,0
trp_L[c],375,C00078,L_Tryptophan,0,0,0,0,1,0
ttdca[c],376,C06424,tetradecanoate__n_C140_,1,1,0,0,0,0
tyr_L[c],377,C00082,L_Tyrosine,0,0,1,0,1,0
u23ga[c],378,C04652,UDP_2_3_bis_3_hydroxytetradecanoyl_glucosamine,0,1,0,0,0,0
u3aga[c],379,C04738,UDP_3_O__3_hydroxytetradecanoyl__N_acetylglucosamine,0,1,0,0,0,0
u3hga[c],380,C06022,UDP_3_O__3_hydroxytetradecanoyl__D_glucosamine,0,1,0,0,0,0
uaagmda[c],381,C05898,Undecaprenyl_diphospho_N_acetylmuramoyl__N_acetylglucosamine__L_ala_D_glu_meso_2_6_diaminopimeloyl_D_ala_D_ala,1,0,0,0,0,0
uaccg[c],382,C04631,UDP_N_acetyl_3_O__1_carboxyvinyl__D_glucosamine,1,0,0,0,0,0
uacgam[c],383,C00043,UDP_N_acetyl_D_glucosamine,1,1,0,0,0,0
uacmam[c],384,C01170,UDP_N_acetyl_D_mannosamine,1,0,0,0,0,0
uacmamu[c],385,C06240,UDP_N_acetyl_D_mannosaminouronate,1,0,0,0,0,0
uagmda[c],386,C05897,Undecaprenyl_diphospho_N_acetylmuramoyl_L_alanyl_D_glutamyl_meso_2_6_diaminopimeloyl_D_alanyl_D_alanine,1,0,0,0,0,0
uama[c],387,C01212,UDP_N_acetylmuramoyl_L_alanine,1,0,0,0,0,0
uamag[c],388,C00692,UDP_N_acetylmuramoyl_L_alanyl_D_glutamate,1,0,0,0,0,0
uamr[c],389,C01050,UDP_N_acetylmuramate,1,0,0,0,0,0
udcpdp[c],390,C04574,Undecaprenyl_diphosphate,1,0,1,0,0,0
udcpp[c],391,C00348,Undecaprenyl_phosphate,1,1,0,0,0,0
udpg[c],392,C00029,UDPglucose,1,1,0,0,0,0
udpgal[c],393,C00052,UDPgalactose,1,0,0,0,0,0
udpgalfur[c],394,C03733,UDP_D_galacto_1_4_furanose,1,1,0,0,0,0
udpglcur[c],395,C00167,UDP_D_glucuronate,1,1,0,0,0,0
ugmd[c],396,C04877,UDP_N_acetylmuramoyl_L_alanyl_D_gamma_glutamyl_meso_2_6_diaminopimelate,1,0,0,0,0,0
ugmda[c],397,C04882,UDP_N_acetylmuramoyl_L_alanyl_D_glutamyl_meso_2_6_diaminopimeloyl_D_alanyl_D_alanine,1,0,0,0,0,0
ump[c],398,C00105,UMP,1,1,0,1,0,0
unaga[c],399,C01289,Undecaprenyl_diphospho_N_acetyl_glucosamine,1,0,0,0,0,0
uppg3[c],400,C01051,Uroporphyrinogen_III,0,0,1,0,0,0
ura[c],401,C00106,Uracil,0,0,0,1,0,0
urea[c],402,C00086,Urea,0,0,0,0,1,0
uri[c],403,C00299,Uridine,0,0,0,1,0,0
utp[c],404,C00075,UTP,1,0,0,1,0,0
val_L[c],405,C00183,L_Valine,0,0,0,0,1,0
xan[c],406,C00385,Xanthine,0,0,0,1,0,0
xmp[c],407,C00655,Xanthosine_5__phosphate,0,0,0,1,0,0
xtsn[c],408,C01762,Xanthosine,0,0,0,1,0,0
xu5p_D[c],409,C00231,D_Xylulose_5_phosphate,0,0,0,0,0,1
